Nom,Signification,Format,Obligatoire,Calculée
id_article,Unique identifier of the article,Integer (INT),Yes,No
titre,Title of the article,String (VARCHAR),Yes,No
contenu,Content / body of the article,Long Text (TEXT),Yes,No
date_publication,Publication date of the article,DD/MM/YYYY,Yes,No
image,Article cover image path,Path / URL,No,No
id_auteur,Foreign key referencing the author,Integer (INT),Yes,No
id_category,Foreign key referencing the category,Integer (INT),Yes,No
id_auteur,Unique identifier of the author,Integer (INT),Yes,No
nom_auteur,Author's last name,String (VARCHAR),Yes,No
prenom_auteur,Author's first name,String (VARCHAR),Yes,No
image_auteur,Author profile picture path,Path / URL,No,No
email_auteur,Author's email address,Email format,Yes,No
mot_de_passe,Author's password hash,Encrypted string,Yes,No
date_inscription,Registration date of the author,DD/MM/YYYY,Yes,No
id_category,Unique identifier of the category,Integer (INT),Yes,No
nom_category,Name of the category,String (VARCHAR),Yes,No
